[Name]
Series 1 at Line 1

[Data]
X [ m ],Velocity u [ m s^-1 ]
9.99999978e-03, 0.00000000e+00
1.19196968e-02, 7.08912441e-04
1.38393939e-02, 2.03214912e-03
1.57590900e-02, 2.20748899e-03
1.76787861e-02, 1.73859356e-03
1.95984822e-02, 1.14315771e-03
2.15181783e-02, 4.19526710e-04
2.34378744e-02, 2.03945339e-04
2.53575705e-02, 8.49306525e-06
2.72772666e-02, 1.08532680e-04
2.91969627e-02, 3.52238188e-04
3.11166588e-02, 5.53779129e-04
3.30363549e-02, 8.93128337e-04
3.49560529e-02, 1.13765942e-03
3.68757509e-02, 1.39279873e-03
3.87954488e-02, 1.75736740e-03
4.07151468e-02, 2.57043797e-03
4.26348448e-02, 3.16559849e-03
4.45545428e-02, 3.86832608e-03
4.64742407e-02, 4.33467515e-03
4.83939387e-02, 5.70939109e-03
5.03136367e-02, 6.10902440e-03
5.22333346e-02, 6.49379008e-03
5.41530326e-02, 6.86331280e-03
5.60727306e-02, 7.27961306e-03
5.79924285e-02, 7.69330375e-03
5.99121265e-02, 8.10395461e-03
6.18318245e-02, 8.54571257e-03
6.37515187e-02, 8.97145085e-03
6.56712130e-02, 9.34936851e-03
6.75909072e-02, 9.72689502e-03
6.95106015e-02, 1.01045240e-02
7.14302957e-02, 1.04961563e-02
7.33499900e-02, 1.08864754e-02
7.52696842e-02, 1.12501848e-02
7.71893784e-02, 1.16173709e-02
7.91090727e-02, 1.19741652e-02
8.10287669e-02, 1.23282420e-02
8.29484612e-02, 1.26829259e-02
8.48681554e-02, 1.30256265e-02
8.67878497e-02, 1.33756930e-02
8.87075439e-02, 1.37215713e-02
9.06272382e-02, 1.40434597e-02
9.25469324e-02, 1.43703353e-02
9.44666266e-02, 1.46815320e-02
9.63863209e-02, 1.49898436e-02
9.83060151e-02, 1.52981598e-02
1.00225709e-01, 1.55885164e-02
1.02145404e-01, 1.58840213e-02
1.04065098e-01, 1.61701571e-02
1.05984792e-01, 1.64428800e-02
1.07904486e-01, 1.67172253e-02
1.09824181e-01, 1.69774294e-02
1.11743875e-01, 1.72388740e-02
1.13663569e-01, 1.74986552e-02
1.15583263e-01, 1.77387111e-02
1.17502958e-01, 1.79826207e-02
1.19422652e-01, 1.82164628e-02
1.21342346e-01, 1.84483416e-02
1.23262040e-01, 1.86802167e-02
1.25181735e-01, 1.88958682e-02
1.27101436e-01, 1.91131625e-02
1.29021138e-01, 1.93257257e-02
1.30940840e-01, 1.95303708e-02
1.32860541e-01, 1.97368134e-02
1.34780243e-01, 1.99321229e-02
1.36699945e-01, 2.01263875e-02
1.38619646e-01, 2.03200951e-02
1.40539348e-01, 2.05016807e-02
1.42459050e-01, 2.06863768e-02
1.44378752e-01, 2.08637305e-02
1.46298453e-01, 2.10382342e-02
1.48218155e-01, 2.12127380e-02
1.50137857e-01, 2.13774387e-02
1.52057558e-01, 2.15436053e-02
1.53977260e-01, 2.17068326e-02
1.55896962e-01, 2.18628496e-02
1.57816663e-01, 2.20204536e-02
1.59736365e-01, 2.21709870e-02
1.61656067e-01, 2.23212019e-02
1.63575768e-01, 2.24712808e-02
1.65495470e-01, 2.26115137e-02
1.67415172e-01, 2.27537416e-02
1.69334874e-01, 2.28912085e-02
1.71254575e-01, 2.30263993e-02
1.73174277e-01, 2.31615826e-02
1.75093979e-01, 2.32894085e-02
1.77013680e-01, 2.34171152e-02
1.78933382e-01, 2.35420726e-02
1.80853084e-01, 2.36659329e-02
1.82772785e-01, 2.37897895e-02
1.84692487e-01, 2.39086170e-02
1.86612189e-01, 2.40288097e-02
1.88531891e-01, 2.41376739e-02
1.90451592e-01, 2.42730882e-02
1.92371294e-01, 2.44894028e-02
1.94290996e-01, 2.48115361e-02
1.96210697e-01, 2.50591990e-02
1.98130399e-01, 2.51512434e-02
2.00050101e-01, 2.52153315e-02


