[Name]
Series 1 at Line 1

[Data]
X [ m ],Velocity u [ m s^-1 ]
9.99999978e-03, 0.00000000e+00
1.03808613e-02, -6.88598520e-05
1.07617229e-02, -1.93062908e-04
1.11425845e-02, -3.73982970e-04
1.15234461e-02, -5.91379008e-04
1.19043076e-02, -8.29602592e-04
1.22851692e-02, -1.07389048e-03
1.26660308e-02, -1.31326355e-03
1.30468924e-02, -1.54099357e-03
1.34277539e-02, -1.75228680e-03
1.38086155e-02, -1.94114505e-03
1.41894771e-02, -2.10901420e-03
1.45703387e-02, -2.25526234e-03
1.49512002e-02, -2.38041021e-03
1.53320618e-02, -2.48390110e-03
1.57129243e-02, -2.56653456e-03
1.60937868e-02, -2.63130968e-03
1.64746493e-02, -2.67914403e-03
1.68555118e-02, -2.71130004e-03
1.72363743e-02, -2.72822427e-03
1.76172368e-02, -2.73191137e-03
1.79980993e-02, -2.72289151e-03
1.83789618e-02, -2.70331744e-03
1.87598243e-02, -2.67372211e-03
1.91406868e-02, -2.63396790e-03
1.95215493e-02, -2.58582016e-03
1.99024118e-02, -2.53003952e-03
2.02832744e-02, -2.46731401e-03
2.06641369e-02, -2.39746901e-03
2.10449994e-02, -2.32159952e-03
2.14258619e-02, -2.24034162e-03
2.18067244e-02, -2.15411861e-03
2.21875869e-02, -2.06331071e-03
2.25684494e-02, -1.96788902e-03
2.29493119e-02, -1.86832505e-03
2.33301744e-02, -1.76542997e-03
2.37110369e-02, -1.65919284e-03
2.40918994e-02, -1.54978642e-03
2.44727619e-02, -1.43728964e-03
2.48536244e-02, -1.32229831e-03
2.52344869e-02, -1.20496587e-03
2.56153494e-02, -1.08532805e-03
2.59962119e-02, -9.63532366e-04
2.63770744e-02, -8.39770364e-04
2.67579369e-02, -7.14336988e-04
2.71387994e-02, -5.87352784e-04
2.75196619e-02, -4.58753493e-04
2.79005244e-02, -3.28863214e-04
2.82813869e-02, -1.97664078e-04
2.86622494e-02, -6.53420866e-05
2.90431120e-02, 6.78921206e-05
2.94239745e-02, 2.02332987e-04
2.98048370e-02, 3.37414036e-04
3.01856995e-02, 4.73325432e-04
3.05665620e-02, 6.10091840e-04
3.09474245e-02, 7.47296261e-04
3.13282870e-02, 8.85240675e-04
3.17091495e-02, 1.02353166e-03
3.20900120e-02, 1.16222224e-03
3.24708745e-02, 1.30142574e-03
3.28517370e-02, 1.44081167e-03
3.32325995e-02, 1.58060621e-03
3.36134620e-02, 1.72054197e-03
3.39943245e-02, 1.86057843e-03
3.43751870e-02, 2.00085226e-03
3.47560495e-02, 2.14107172e-03
3.51369120e-02, 2.28143344e-03
3.55177745e-02, 2.42178515e-03
3.58986370e-02, 2.56202440e-03
3.62794995e-02, 2.70232931e-03
3.66603620e-02, 2.84227217e-03
3.70412245e-02, 2.98218196e-03
3.74220870e-02, 3.12222075e-03
3.78029495e-02, 3.26180598e-03
3.81838121e-02, 3.40127852e-03
3.85646746e-02, 3.54039832e-03
3.89455371e-02, 3.67929135e-03
3.93263996e-02, 3.81794851e-03
3.97072621e-02, 3.95627413e-03
4.00881246e-02, 4.09408659e-03
4.04689871e-02, 4.23174724e-03
4.08498496e-02, 4.36899997e-03
4.12307121e-02, 4.50592674e-03
4.16115746e-02, 4.64227237e-03
4.19924371e-02, 4.77830879e-03
4.23732996e-02, 4.91388887e-03
4.27541621e-02, 5.04898326e-03
4.31350246e-02, 5.18371817e-03
4.35158871e-02, 5.31780906e-03
4.38967496e-02, 5.45150833e-03
4.42776121e-02, 5.58471214e-03
4.46584746e-02, 5.71735110e-03
4.50393371e-02, 5.84951695e-03
4.54201996e-02, 5.98106487e-03
4.58010621e-02, 6.11209404e-03
4.61819246e-02, 6.24268502e-03
4.65627871e-02, 6.37256820e-03
4.69436496e-02, 6.50183344e-03
4.73245122e-02, 6.63066329e-03
4.77053747e-02, 6.75891945e-03
4.80862372e-02, 6.88643567e-03
4.84670997e-02, 7.01392256e-03
4.88479622e-02, 7.13999802e-03
4.92288247e-02, 7.26608094e-03
