[Name]
Series 1 at Line 1

[Data]
X [ m ],Velocity u [ m s^-1 ]
9.99999978e-03, 0.00000000e+00
1.19196968e-02, -5.17433742e-04
1.38393939e-02, -1.09249190e-03
1.57590900e-02, -1.45019812e-03
1.76787861e-02, -1.69175433e-03
1.95984822e-02, -1.58484117e-03
2.15181783e-02, -1.35354674e-03
2.34378744e-02, -1.04458316e-03
2.53575705e-02, -6.56774093e-04
2.72772666e-02, -2.09311766e-04
2.91969627e-02, 2.78134539e-04
3.11166588e-02, 7.88678124e-04
3.30363549e-02, 1.33164157e-03
3.49560529e-02, 1.90028816e-03
3.68757509e-02, 2.47760420e-03
3.87954488e-02, 3.05793248e-03
4.07151468e-02, 3.64460470e-03
4.26348448e-02, 4.23426088e-03
4.45545428e-02, 4.82434779e-03
4.64742407e-02, 5.41018974e-03
4.83939387e-02, 5.99393714e-03
5.03136367e-02, 6.57113502e-03
5.22333346e-02, 7.13738706e-03
5.41530326e-02, 7.69389980e-03
5.60727306e-02, 8.24177079e-03
5.79924285e-02, 8.78059212e-03
5.99121265e-02, 9.30491649e-03
6.18318245e-02, 9.81725845e-03
6.37515187e-02, 1.03182504e-02
6.56712130e-02, 1.08097401e-02
6.75909072e-02, 1.12860044e-02
6.95106015e-02, 1.17498375e-02
7.14302957e-02, 1.22001469e-02
7.33499900e-02, 1.26427831e-02
7.52696842e-02, 1.30742593e-02
7.71893784e-02, 1.34919640e-02
7.91090727e-02, 1.38983335e-02
8.10287669e-02, 1.42946821e-02
8.29484612e-02, 1.46814100e-02
8.48681554e-02, 1.50543712e-02
8.67878497e-02, 1.54173393e-02
8.87075439e-02, 1.57709494e-02
9.06272382e-02, 1.61164831e-02
9.25469324e-02, 1.64506678e-02
9.44666266e-02, 1.67752728e-02
9.63863209e-02, 1.70912314e-02
9.83060151e-02, 1.74000524e-02
1.00225709e-01, 1.77000146e-02
1.02145404e-01, 1.79908052e-02
1.04065098e-01, 1.82737801e-02
1.05984792e-01, 1.85502954e-02
1.07904486e-01, 1.88201535e-02
1.09824181e-01, 1.90811269e-02
1.11743875e-01, 1.93354804e-02
1.13663569e-01, 1.95838120e-02
1.15583263e-01, 1.98268220e-02
1.17502958e-01, 2.00622883e-02
1.19422652e-01, 2.02916842e-02
1.21342346e-01, 2.05155350e-02
1.23262040e-01, 2.07348429e-02
1.25181735e-01, 2.09482517e-02
1.27101436e-01, 2.11557038e-02
1.29021138e-01, 2.13572066e-02
1.30940840e-01, 2.15544347e-02
1.32860541e-01, 2.17470545e-02
1.34780243e-01, 2.19350699e-02
1.36699945e-01, 2.21173558e-02
1.38619646e-01, 2.22948417e-02
1.40539348e-01, 2.24687010e-02
1.42459050e-01, 2.26368792e-02
1.44378752e-01, 2.28032880e-02
1.46298453e-01, 2.29668021e-02
1.48218155e-01, 2.31621750e-02
1.50137857e-01, 2.33123451e-02
1.52057558e-01, 2.34281123e-02
1.53977260e-01, 2.35572532e-02
1.55896962e-01, 2.36937869e-02
1.57816663e-01, 2.38375776e-02
1.59736365e-01, 2.39781812e-02
1.61656067e-01, 2.41168719e-02
1.63575768e-01, 2.42536087e-02
1.65495470e-01, 2.43882518e-02
1.67415172e-01, 2.45206486e-02
1.69334874e-01, 2.46501453e-02
1.71254575e-01, 2.47776024e-02
1.73174277e-01, 2.49030609e-02
1.75093979e-01, 2.50265673e-02
1.77013680e-01, 2.51475275e-02
1.78933382e-01, 2.52665393e-02
1.80853084e-01, 2.53838152e-02
1.82772785e-01, 2.54993886e-02
1.84692487e-01, 2.56129149e-02
1.86612189e-01, 2.57246755e-02
1.88531891e-01, 2.58347187e-02
1.90451592e-01, 2.59433687e-02
1.92371294e-01, 2.60512978e-02
1.94290996e-01, 2.61535197e-02
1.96210697e-01, 2.62625329e-02
1.98130399e-01, 2.63671894e-02
2.00050101e-01, 2.64893565e-02


